,citing_author,paper_citing_id,cited_author,paper_cited_id,time
832,2,422,17,137,21
833,2,422,9,9,21
834,3,423,2,322,21
835,4,424,9,269,21
836,4,424,9,9,21
837,4,424,9,249,21
838,5,425,12,392,21
839,5,425,0,0,21
840,5,425,16,16,21
841,6,426,1,81,21
842,6,426,13,173,21
843,6,426,3,323,21
844,7,427,11,11,21
845,7,427,15,15,21
846,8,428,7,147,21
847,8,428,9,229,21
848,8,428,15,15,21
849,9,429,6,86,21
850,10,430,5,245,21
851,10,430,19,39,21
852,10,430,6,6,21
853,11,431,11,271,21
854,12,432,18,18,21
855,12,432,13,133,21
856,13,433,2,382,21
857,13,433,10,10,21
858,14,434,12,72,21
859,15,435,8,148,21
860,15,435,14,14,21
861,16,436,7,7,21
862,16,436,14,14,21
863,16,436,18,78,21
864,17,437,0,200,21
865,17,437,19,19,21
866,17,437,18,118,21
867,18,438,12,12,21
868,18,438,12,132,21
869,18,438,2,382,21
870,19,439,2,62,21
871,19,439,4,384,21
872,19,439,0,100,21
873,0,440,4,404,22
874,0,440,2,2,22
875,0,440,17,417,22
876,1,441,15,15,22
877,1,441,2,422,22
878,2,442,18,18,22
879,3,443,1,21,22
880,3,443,6,26,22
881,4,444,17,97,22
882,4,444,19,199,22
883,4,444,19,159,22
884,5,445,8,8,22
885,6,446,1,421,22
886,7,447,12,12,22
887,7,447,3,343,22
888,7,447,5,425,22
889,8,448,2,162,22
890,8,448,12,12,22
891,8,448,15,15,22
892,9,449,19,19,22
893,9,449,9,9,22
894,9,449,9,209,22
895,10,450,14,14,22
896,10,450,0,60,22
897,10,450,3,263,22
898,11,451,10,10,22
899,12,452,17,437,22
900,12,452,5,165,22
901,12,452,13,13,22
902,13,453,16,56,22
903,14,454,18,118,22
904,15,455,19,199,22
905,15,455,13,13,22
906,16,456,0,0,22
907,16,456,9,9,22
908,16,456,19,159,22
909,17,457,7,127,22
910,17,457,2,2,22
911,17,457,0,0,22
912,18,458,13,133,22
913,18,458,16,296,22
914,19,459,17,17,22
915,0,460,3,143,23
916,1,461,11,211,23
917,1,461,2,322,23
918,1,461,18,358,23
919,2,462,15,15,23
920,2,462,18,58,23
921,3,463,14,14,23
922,4,464,12,12,23
923,4,464,0,20,23
924,4,464,9,9,23
925,5,465,17,217,23
926,5,465,5,65,23
927,6,466,12,232,23
928,6,466,13,133,23
929,6,466,7,27,23
930,7,467,15,15,23
931,7,467,6,406,23
932,8,468,18,18,23
933,9,469,0,0,23
934,10,470,6,186,23
935,10,470,18,258,23
936,11,471,0,40,23
